,Open,High,Low,Close,Volume,Ticker
2024-11-13,460.26,473.0,445.0001,467.37,12048765.0,SPOT
2024-11-14,471.0,489.69,466.36,477.5,5040192.0,SPOT
2024-11-15,474.0,474.0,457.54,458.32,3024154.0,SPOT
2024-11-18,460.64,460.64,452.49,454.36,2950157.0,SPOT
2024-11-19,454.3,465.21,450.0,463.83,2799585.0,SPOT
2024-11-20,467.78,473.0,460.6487,470.01,2386422.0,SPOT
2024-11-21,468.22,473.62,465.5035,470.7,2181792.0,SPOT
2024-11-22,471.81,480.09,469.49,475.04,2296207.0,SPOT
2024-11-25,483.35,485.46,466.88,481.38,27687736.0,SPOT
2024-11-26,477.55,482.72,474.335,476.61,2660794.0,SPOT
2024-11-27,480.3,484.29,473.175,475.24,2045599.0,SPOT
2024-11-29,475.72,478.87,473.33,476.96,981171.0,SPOT
2024-12-02,478.765,482.38,473.01,480.27,2040172.0,SPOT
2024-12-03,477.28,494.0,477.0,493.32,2160288.0,SPOT
2024-12-04,493.5,506.4729,490.2277,502.38,2489107.0,SPOT
2024-12-05,492.6,495.06,480.66,493.51,2241048.0,SPOT
2024-12-06,495.22,499.02,487.69,498.63,1841230.0,SPOT
2024-12-09,496.52,497.0,481.0,482.52,2903253.0,SPOT
2024-12-10,480.0,488.4291,465.3401,471.58,2783808.0,SPOT
2024-12-11,474.98,478.94,469.505,476.91,1948991.0,SPOT
2024-12-12,477.0,487.8199,475.0,480.11,1607411.0,SPOT
2024-12-13,479.585,484.6,474.54,483.31,1432067.0,SPOT
2024-12-16,483.04,490.665,481.742,484.9,1398768.0,SPOT
2024-12-17,479.91,483.82,471.7001,474.37,1915549.0,SPOT
2024-12-18,479.5,482.67,446.78,448.65,3386824.0,SPOT
2024-12-19,453.92,460.78,450.01,454.16,1858703.0,SPOT
2024-12-20,445.27,464.465,444.17,460.88,1834616.0,SPOT
2024-12-23,462.0,462.5,451.0,456.29,1659292.0,SPOT
2024-12-24,456.82,462.69,455.9,461.64,522347.0,SPOT
2024-12-26,458.0,460.91,455.28,457.98,1146080.0,SPOT
2024-12-27,456.12,459.0,449.495,456.48,963814.0,SPOT
2024-12-30,450.0,455.17,444.85,451.79,1604819.0,SPOT
2024-12-31,451.76,453.11,446.21,447.38,763812.0,SPOT
2025-01-02,450.58,460.27,443.21,457.79,1092708.0,SPOT
2025-01-03,459.95,472.8,459.5,466.69,1185911.0,SPOT
2025-01-06,469.44,474.3134,460.6001,468.93,1752124.0,SPOT
2025-01-07,472.0,472.97,454.7133,463.93,1261128.0,SPOT
2025-01-08,462.71,482.0599,460.93,479.73,2154777.0,SPOT
2025-01-10,476.0,479.43,456.25,459.53,2966474.0,SPOT
2025-01-13,452.43,463.5,451.4284,458.54,1345100.0,SPOT
2025-01-14,463.39,469.39,460.33,463.59,1140718.0,SPOT
2025-01-15,476.12,492.18,476.06,490.69,2053740.0,SPOT
2025-01-16,490.81,500.48,488.23,490.34,1376902.0,SPOT
2025-01-17,487.0,490.78,480.005,485.53,2021656.0,SPOT
2025-01-21,497.36,500.86,476.52,487.51,2133343.0,SPOT
2025-01-22,509.0,510.84,493.03,493.56,1867070.0,SPOT
2025-01-23,490.0,501.61,488.002,501.5,892706.0,SPOT
2025-01-24,507.82,512.01,501.475,510.43,1778329.0,SPOT
2025-01-27,495.11,516.5829,488.04,513.98,2445419.0,SPOT
2025-01-28,518.0,536.995,510.7189,530.8,2243645.0,SPOT
2025-01-29,529.97,543.86,528.19,538.83,1902110.0,SPOT
2025-01-30,544.0,558.31,541.585,550.13,2045476.0,SPOT
2025-01-31,550.0,560.36,546.56,548.55,1562330.0,SPOT
2025-02-03,538.92,554.6958,534.8937,549.08,2536322.0,SPOT
2025-02-04,595.99,623.4,581.07,621.77,6757342.0,SPOT
2025-02-05,608.85,630.77,607.3,626.0,4609123.0,SPOT
2025-02-06,628.5,628.5,618.01,625.87,1857088.0,SPOT
2025-02-07,628.37,632.45,620.69,622.99,2318501.0,SPOT
2025-02-10,629.59,642.27,621.23,637.69,2133450.0,SPOT
2025-02-11,628.0,635.45,619.002,623.15,1662124.0,SPOT
2025-02-12,626.56,648.2723,623.71,640.59,1804749.0,SPOT
2025-02-13,647.12,652.6279,640.05,648.32,1630535.0,SPOT
2025-02-14,643.76,648.0,626.1,638.18,2120601.0,SPOT
2025-02-18,639.04,646.98,625.64,630.56,1934356.0,SPOT
2025-02-19,638.0,643.0,624.25,642.73,1474374.0,SPOT
2025-02-20,635.5,638.79,615.15,636.77,1907651.0,SPOT
2025-02-21,636.37,639.012,605.557,607.38,2198670.0,SPOT
2025-02-24,612.3,621.91,592.98,601.61,2078629.0,SPOT
2025-02-25,597.22,599.12,575.535,588.57,2822820.0,SPOT
2025-02-26,595.62,608.5294,592.89,603.13,2629946.0,SPOT
2025-02-27,611.0,613.0,586.0,590.76,1191837.0,SPOT
2025-02-28,584.25,609.92,580.0,608.01,4531895.0,SPOT
2025-03-03,610.6,626.56,593.77,599.86,1576810.0,SPOT
2025-03-04,588.25,590.7099,560.1,584.14,2987516.0,SPOT
2025-03-05,584.27,587.27,569.08,586.83,1790177.0,SPOT
2025-03-06,570.01,581.34,534.2201,543.41,2964348.0,SPOT
2025-03-07,540.52,548.84,506.49,532.1,3827023.0,SPOT
2025-03-10,508.12,513.2,483.65,489.24,5799766.0,SPOT
2025-03-11,490.4,513.78,487.16,508.44,4055755.0,SPOT
2025-03-12,544.46,552.6549,524.145,535.84,3695454.0,SPOT
2025-03-13,534.6,545.395,525.49,537.91,2532419.0,SPOT
2025-03-14,548.255,576.62,546.95,574.79,3240392.0,SPOT
2025-03-17,570.07,604.11,570.07,597.46,2802947.0,SPOT
2025-03-18,593.3,603.2,564.0,569.48,2288737.0,SPOT
2025-03-19,571.97,594.6891,557.41,586.23,2239736.0,SPOT
2025-03-20,580.0,598.16,580.0,594.55,2526690.0,SPOT
2025-03-21,591.87,603.21,586.65,599.94,2544198.0,SPOT
2025-03-24,617.0,618.1368,597.09,604.71,1923078.0,SPOT
2025-03-25,606.87,621.2,606.0,615.88,1573443.0,SPOT
2025-03-26,607.58,610.015,574.96,576.35,2827665.0,SPOT
2025-03-27,569.15,588.73,562.57,580.22,2206142.0,SPOT
2025-03-28,576.67,590.83,556.0,561.16,1921337.0,SPOT
2025-03-31,545.0,551.39,525.8063,550.03,3179863.0,SPOT
2025-04-01,547.2,552.86,540.0001,551.73,1612707.0,SPOT
2025-04-02,545.18,578.94,542.98,565.41,1933088.0,SPOT
2025-04-03,544.69,569.73,540.67,558.42,2962624.0,SPOT
2025-04-04,535.0,539.4,495.1901,503.3,4150324.0,SPOT
2025-04-07,477.51,555.0,475.01,518.97,3893943.0,SPOT
2025-04-08,558.0,558.0,507.8,518.35,3305860.0,SPOT
2025-04-09,513.99,577.3063,511.7,569.06,3519003.0,SPOT
2025-04-10,560.9,565.9999,537.0,553.02,1990390.0,SPOT
2025-04-11,552.41,567.09,542.0,543.66,2154400.0,SPOT
2025-04-14,562.0,565.0,539.6545,549.17,2125186.0,SPOT
2025-04-15,556.0,577.81,548.545,572.39,2284971.0,SPOT
2025-04-16,564.48,573.6799,553.0001,563.07,1895786.0,SPOT
2025-04-17,565.79,578.45,560.1609,574.25,1733203.0,SPOT
2025-04-21,584.0,593.8399,555.605,558.82,1854635.0,SPOT
2025-04-22,573.85,598.9,572.25,590.39,2592996.0,SPOT
2025-04-23,610.0,614.0999,587.36,592.7,1921729.0,SPOT
2025-04-24,593.87,611.8621,593.87,605.95,1556559.0,SPOT
2025-04-25,604.99,624.09,599.27,620.72,2586422.0,SPOT
2025-04-28,627.5,627.5,595.0,597.73,3939380.0,SPOT
2025-04-29,558.0,590.9999,540.1,576.94,10270289.0,SPOT
2025-04-30,571.8,615.25,565.02,613.98,4234041.0,SPOT
2025-05-01,606.1,610.88,594.0,602.26,2329208.0,SPOT
2025-05-02,614.98,653.32,612.0,644.0,4851723.0,SPOT
2025-05-05,628.58,646.0,625.61,637.65,1720017.0,SPOT
2025-05-06,632.2,639.98,627.92,632.85,1421732.0,SPOT
2025-05-07,633.09,659.9999,633.09,657.1,2595444.0,SPOT
2025-05-08,659.0,663.55,643.63,655.26,1633535.0,SPOT
2025-05-09,659.0,660.8068,638.43,648.25,1211472.0,SPOT
